"box","lat","lon","mnasc","area","count","lat1","lat2","lat3","lat4","lon1","lon2","lon3","lon4","arean","part","latmin","lonmin","ea","nfish","nfish.i","nfish.m","mass","mass.i","mass.m","reg","old.area","old.arean","area.part"
671,67.375,-20.25,3.23950617283951,598.773097266486,81,67.25,67.25,67.5,67.5,-20.5,-20,-20,-20.5,174.574302157286,0.65,15,30,367.597444147491,3979803.83248064,289957.136366447,3689846.6961142,77.7787845110213,3.08832777400498,74.6904567370163,4,598.773097266486,174.574302157286,1
672,67.375,-19.75,155.204,598.77309726649,25,67.25,67.25,67.5,67.5,-20,-19.5,-19.5,-20,174.574302157288,0.34,15,30,9212.17419728669,99735857.1435842,7266469.59188971,92469387.5516945,1949.17490090401,77.3950251434214,1871.77987576058,4,598.77309726649,174.574302157288,1
673,67.375,-19.25,73.5794520547945,598.77309726649,73,67.25,67.25,67.5,67.5,-19.5,-19,-19,-19.5,174.574302157288,0.39,15,30,5009.58178327673,54236374.8650291,3951507.31159498,50284867.5534342,1059.9616189265,42.0874268952626,1017.87419203124,4,598.77309726649,174.574302157288,1
713,67.625,-23.75,2691.76418918919,592.523360364252,296,67.5,67.5,67.75,67.75,-24,-23.5,-23.5,-24,172.752170429333,0.9,15,30,418507.295369748,4530980735.99596,330114310.76542,4200866425.23054,88550.6394592709,3516.04105113286,85034.5984081381,4,592.523360364252,172.752170429333,1
714,67.625,-23.25,573.565294117647,592.523360364259,340,67.5,67.5,67.75,67.75,-23.5,-23,-23,-23.5,172.752170429335,1,15,30,99084.6494417637,1072742680.5234,78156966.723848,994585713.799556,20965.0086527502,832.448320086162,20132.5603326641,4,592.523360364259,172.752170429335,1
715,67.625,-22.75,770.709523809524,592.523360364252,273,67.5,67.5,67.75,67.75,-23,-22.5,-22.5,-23,172.752170429333,1,15,30,133141.743008653,1441462740.08474,105020856.777603,1336441883.30714,28171.0417299224,1118.57508630576,27052.4666436167,4,592.523360364252,172.752170429333,1
716,67.625,-22.25,1094.3375,592.523360364256,280,67.5,67.5,67.75,67.75,-22.5,-22,-22,-22.5,172.752170429334,1,15,30,189049.178307212,2046746124.96076,149120074.81857,1897626050.14219,40000.3197400974,1588.27499296955,38412.0447471279,4,592.523360364256,172.752170429334,1
717,67.625,-21.75,1331.22828947368,592.523360364256,152,67.5,67.5,67.75,67.75,-22,-21.5,-21.5,-22,172.752170429334,1,15,30,229972.576343509,2489804418.58056,181400036.21087,2308404382.36969,48659.1725368183,1932.08822881852,46727.0843079997,4,592.523360364256,172.752170429334,1
718,67.625,-21.25,112.663157894737,592.523360364252,152,67.5,67.5,67.75,67.75,-21.5,-21,-21,-21.5,172.752170429333,1,15,30,19462.8050537385,210714593.849606,15352063.2661856,195362530.583421,4118.07357302343,163.514524827295,3954.55904819613,4,592.523360364252,172.752170429333,1
719,67.625,-20.75,176.830263157895,592.523360364259,152,67.5,67.5,67.75,67.75,-21,-20.5,-20.5,-21,172.752170429335,1,15,30,30547.8117581169,330726723.606031,24095804.1484394,306630919.457592,6463.51520078715,256.64393751828,6206.87126326887,4,592.523360364259,172.752170429335,1
720,67.625,-20.25,843.386090225564,592.523360364252,266,67.5,67.5,67.75,67.75,-20.5,-20,-20,-20.5,172.752170429333,1,15,30,145696.777596376,1577390167.12392,114924140.7476,1462466026.37632,30827.5219238791,1224.05476968816,29603.4671541909,4,592.523360364252,172.752170429333,1
721,67.625,-19.75,728.266233766234,592.523360364256,231,67.5,67.5,67.75,67.75,-20,-19.5,-19.5,-20,172.752170429334,1,15,30,125809.572533514,1362080794.9109,99237315.0577941,1262843479.85311,26619.6508906675,1056.97469685086,25562.6761938167,4,592.523360364256,172.752170429334,1
722,67.625,-19.25,206.557209302326,592.523360364256,215,67.5,67.5,67.75,67.75,-19.5,-19,-19,-19.5,172.752170429334,1,15,30,35683.206224803,386325212.945955,28146551.2289196,358178661.717035,7550.09712882474,299.788365246061,7250.30876357868,4,592.523360364256,172.752170429334,1
763,67.875,-23.25,6.14545454545455,586.261606451226,22,67.75,67.75,68,68,-23.5,-23,-23,-23.5,170.926535101631,0.2,15,30,210.084250415823,2274482.91129372,165712.326394257,2108770.58489946,44.4510643433517,1.76499873916393,42.6860656041877,4,586.261606451226,170.926535101631,1
764,67.875,-22.75,19.7669014084507,586.261606451218,142,67.75,67.75,68,68,-23,-22.5,-22.5,-23,170.926535101629,0.58,15,30,1959.63902111636,21216085.7228058,1545743.38837585,19670342.3344299,414.633843541205,16.4636825208973,398.170161020308,4,586.261606451218,170.926535101629,1
765,67.875,-22.25,517.26887755102,586.261606451222,196,67.75,67.75,68,68,-22.5,-22,-22,-22.5,170.92653510163,0.77,15,30,68079.5322558931,737064927.134756,53700444.6912465,683364482.443509,14404.7336379675,571.96238345657,13832.7712545109,4,586.261606451222,170.92653510163,1
766,67.875,-21.75,11.2766666666667,586.261606451222,30,67.75,67.75,68,68,-22,-21.5,-21.5,-22,170.92653510163,0.37,15,30,713.168177506872,7721134.87520954,562539.826622409,7158595.04858713,150.897006716317,5.9916006631626,144.905406053154,4,586.261606451222,170.92653510163,1
767,67.875,-21.25,0,586.261606451218,52,67.75,67.75,68,68,-21.5,-21,-21,-21.5,170.926535101629,1,15,30,0,0,0,0,0,0,0,4,586.261606451218,170.926535101629,1
768,67.875,-20.75,0,586.261606451226,27,67.75,67.75,68,68,-21,-20.5,-20.5,-21,170.926535101631,1,15,30,0,0,0,0,0,0,0,4,586.261606451226,170.926535101631,1
